title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis,language
6856,I Killed the Main Player,FANTASY,"GREENKYRIN,HELP.ME",SUNDAY,13,117882,8.74,1362369,123099,ONGOING,False,"Being a character of your favorite game is great! Sure, he’s just a minor NPC, but Corin knows this game like the back of his hand. With his knowledge and the main player Sihu’s abilities, everything’s going smoothly - until Corin discovers Sihu’s been murdering innocent NPCs and stealing their items. Horrified but powerless to stop him, Corin awaits the end of the game - only for Sihu to mysteriously fail at the last mission. Instantly, Corin travels three years back in time. Now, he’s determined to kill Sihu and take on his role - defeat the final boss and save the world.",en
6855,Too Late for Regrets,FANTASY,"Jiyeop,Dalseul",SUNDAY,10,131944,7.19,1337103,88602,ONGOING,False,"The tale of Princess Ines is a tragic one. Born a royal of the Zener Empire, she is reviled and neglected as a child born out of wedlock. To compound her misfortune, Ines is married off to Grand Duke Ryan of Eleanor, a renowned war hero of the Lezan Empire who fought against Zener. Ryan proves a stern and distant husband to Ines, and she soon determines that she must fight for a life of dignity – if not in Eleanor, then elsewhere. Thus begins a marriage of emotional reserve and regrets…",en
6854,Tales of the Unusual 2,HORROR,Seongdae Oh,THURSDAY,11,27249,9.83,279178,38688,ONGOING,False,"From twisted games of evil demons and the roaming of the undead to strange technology that makes the impossible happen, dive into Tales of the Unusual 2, another thrilling collection of supernatural horror stories that will have you scrolling for hours. With just the right balance of dark humor and the unexpected, each short story pulls you into a new immersive world and unravels plot twists you never would've imagined. Just remember, there's nothing to be afraid of... If you have nothing to hide.",en
6853,Banhyang: The Remote Island,HORROR,PIGGY,MONDAY,10,21285,9.05,123740,11555,ONGOING,False,"Sehim’s field trip to Banhyang Island takes an ominous turn when a fierce storm leaves everyone stranded. As three students inexplicably vanish amidst the storm, Sehim and his friends scramble to find out why. But, their desperate efforts only seem to drag them deeper into the island’s sinister secrets— every revelation intensifying the chilling forces lurking on the island, their chances of leaving the island seem uncertain by the day. 

",en
6851,Introverted Us,COMEDY,,SATURDAY,11,199887,9.71,2028189,207133,ONGOING,False,"Do you ever wonder what the most popular boy at school is really like? As it turns out, he might be just as awkward and shy as any of us. That’s what wallflower Jayu Nam begins to discover after a chance encounter with Jahyeok Yeo, a boy in her class who seems to excel at everything in life. Well, almost. Underneath Jahyeok’s persona is a secret super-introvert who would rather just stay home, except his charming good looks keep forcing him into social situations. Together, Jayu and Jahyeok begin to learn a little something about friendship and maybe more…


",en
6850,Pieces of Humans,THRILLER,"IRON Shin,SICK",THURSDAY,12,21687,9.55,194560,19551,ONGOING,False,"“Healed Zombies,” those with rotting bodies but sound minds, are desperate for living humans; not just to kill but to receive transplants of their healthy body parts and survive! Fragmented spirits, fragmented bodies, and fragmented humanity... this is the desperate survival of broken people, left only with pieces of humans!",en
6849,Return of the Runebound Professor,FANTASY,"Laurel Pursuit,Actus,AETHON,Daniel Krauss",FRIDAY,10,89015,9.5,773370,78088,ONGOING,False,"Magus Vermil was a scumbag — the most hated professor at a magic academy. Then someone murdered him. He never would have been heard from again if not for a lost soul from Earth by the name of Noah Vines.
Transmigrated into Vermil’s body, Noah assumes the man’s runic powers and extensive list of enemies. There’s just one problem. Noah has to teach class tomorrow, and he has no damn idea what magic is.",en
6848,My Best Friend is an Eldritch Horror,FANTASY,"Actus,AETHON,Blacklapiz Studio,Soranokami,Tevagah,Sauerkraut",THURSDAY,13,128571,9.09,1538575,154996,ONGOING,False,"Good things come to those who wait. Damien Vale didn't, and now he's bound to an Eldritch creature from beyond the farthest reaches of the universe. It's unfathomable, utterly evil, and likes to be called Henry. To Damien, none of that mattered. He was going to learn magic, and he'd be damned if he let something as small as this set him back. ",en
6847,Snow and Briar,COMEDY,M. Nires,TUESDAY,11,53495,9.14,710732,114184,ONGOING,False,"Prince Snow is the fairest in the land, so how can they expect him to get married when nobody even comes close to his perfection? Perfect manners, perfect hair, perfectly getting everything he wants.  The only thing he can't have is a life without his evil stepmother, who desperately wants him out of her hair forever. A quick scheme and three month carriage ride later, and Snow finds himself being married off to the towering Princess Briar. Is she just infatuated with him like everyone else, or does she have secrets of her own?",en
6846,Mindful Love,ROMANCE,Nécole Bee,SATURDAY,11,30327,8.54,207735,28283,ONGOING,False,"Somewhere deep in a human brain, maybe even your own brain: Anxious and Sorrow unexpectedly fall in love, and the BrainWorld has a whole new dilemma.",en
